"arc_length","p","u","v"
2.382,-0.214885,0.276343,-0.0104816
2.388,-0.215733,0.260901,-0.00933928
2.394,-0.216581,0.245459,-0.008197
2.4,-0.217429,0.230017,-0.00705471
2.406,-0.218267,0.214625,-0.00594053
2.412,-0.218937,0.199986,-0.00525035
2.418,-0.219607,0.185347,-0.00456017
2.424,-0.220277,0.170708,-0.00386998
2.43,-0.220947,0.15607,-0.0031798
2.436,-0.221617,0.141431,-0.00248961
2.442,-0.222183,0.127321,-0.00199789
2.448,-0.222668,0.113625,-0.00166117
2.454,-0.223152,0.0999285,-0.00132445
2.46,-0.223637,0.0862322,-0.00098774
2.466,-0.224122,0.0725357,-0.000651021
2.472,-0.224561,0.0591677,-0.000395597
2.478,-0.224905,0.046489,-0.000310826
2.484,-0.22525,0.0338101,-0.000226055
2.49,-0.225594,0.0211313,-0.000141284
2.496,-0.225938,0.00845255,-5.6514e-05
2.502,nan,nan,nan
2.508,nan,nan,nan
2.514,nan,nan,nan
2.52,nan,nan,nan
2.526,nan,nan,nan
2.532,nan,nan,nan
2.538,nan,nan,nan
2.544,nan,nan,nan
2.55,nan,nan,nan
2.556,nan,nan,nan
2.562,nan,nan,nan
2.568,nan,nan,nan
2.574,nan,nan,nan
2.58,nan,nan,nan
2.586,nan,nan,nan
2.592,nan,nan,nan
2.598,nan,nan,nan
2.604,nan,nan,nan
2.61,nan,nan,nan
2.616,nan,nan,nan
2.622,nan,nan,nan
2.628,nan,nan,nan
2.634,nan,nan,nan
2.64,nan,nan,nan
2.646,nan,nan,nan
2.652,nan,nan,nan
2.658,nan,nan,nan
2.664,nan,nan,nan
2.67,nan,nan,nan
2.676,nan,nan,nan
2.682,nan,nan,nan
2.688,nan,nan,nan
2.694,nan,nan,nan
2.7,nan,nan,nan
2.706,nan,nan,nan
2.712,nan,nan,nan
2.718,nan,nan,nan
2.724,nan,nan,nan
2.73,nan,nan,nan
2.736,nan,nan,nan
2.742,nan,nan,nan
2.748,nan,nan,nan
2.754,nan,nan,nan
2.76,nan,nan,nan
2.766,nan,nan,nan
2.772,nan,nan,nan
2.778,nan,nan,nan
2.784,nan,nan,nan
2.79,nan,nan,nan
2.796,nan,nan,nan
2.802,nan,nan,nan
2.808,nan,nan,nan
2.814,nan,nan,nan
2.82,nan,nan,nan
2.826,nan,nan,nan
2.832,nan,nan,nan
2.838,nan,nan,nan
2.844,nan,nan,nan
2.85,nan,nan,nan
2.856,nan,nan,nan
2.862,nan,nan,nan
2.868,nan,nan,nan
2.874,nan,nan,nan
2.88,nan,nan,nan
2.886,nan,nan,nan
2.892,nan,nan,nan
2.898,nan,nan,nan
2.904,nan,nan,nan
2.91,nan,nan,nan
2.916,nan,nan,nan
2.922,nan,nan,nan
2.928,nan,nan,nan
2.934,nan,nan,nan
2.94,nan,nan,nan
2.946,nan,nan,nan
2.952,nan,nan,nan
2.958,nan,nan,nan
2.964,nan,nan,nan
2.97,nan,nan,nan
2.976,nan,nan,nan
2.982,nan,nan,nan
2.988,nan,nan,nan
2.994,nan,nan,nan
3,nan,nan,nan
3.006,nan,nan,nan
3.012,nan,nan,nan
3.018,nan,nan,nan
3.024,nan,nan,nan
3.03,nan,nan,nan
3.036,nan,nan,nan
3.042,nan,nan,nan
3.048,nan,nan,nan
3.054,nan,nan,nan
3.06,nan,nan,nan
3.066,nan,nan,nan
3.072,nan,nan,nan
3.078,nan,nan,nan
3.084,nan,nan,nan
3.09,nan,nan,nan
3.096,nan,nan,nan
3.102,nan,nan,nan
3.108,nan,nan,nan
3.114,nan,nan,nan
3.12,nan,nan,nan
3.126,nan,nan,nan
3.132,nan,nan,nan
3.138,nan,nan,nan
3.144,nan,nan,nan
3.15,nan,nan,nan
3.156,nan,nan,nan
3.162,nan,nan,nan
3.168,nan,nan,nan
3.174,nan,nan,nan
3.18,nan,nan,nan
3.186,nan,nan,nan
3.192,nan,nan,nan
3.198,nan,nan,nan
3.204,nan,nan,nan
3.21,nan,nan,nan
3.216,nan,nan,nan
3.222,nan,nan,nan
3.228,nan,nan,nan
3.234,nan,nan,nan
3.24,nan,nan,nan
3.246,nan,nan,nan
3.252,nan,nan,nan
3.258,nan,nan,nan
3.264,nan,nan,nan
3.27,nan,nan,nan
3.276,nan,nan,nan
3.282,nan,nan,nan
3.288,nan,nan,nan
3.294,nan,nan,nan
3.3,nan,nan,nan
3.306,nan,nan,nan
3.312,nan,nan,nan
3.318,nan,nan,nan
3.324,nan,nan,nan
3.33,nan,nan,nan
3.336,nan,nan,nan
3.342,nan,nan,nan
3.348,nan,nan,nan
3.354,nan,nan,nan
3.36,nan,nan,nan
3.366,nan,nan,nan
3.372,nan,nan,nan
3.378,nan,nan,nan
3.384,nan,nan,nan
3.39,nan,nan,nan
3.396,nan,nan,nan
3.402,nan,nan,nan
3.408,nan,nan,nan
3.414,nan,nan,nan
3.42,nan,nan,nan
3.426,nan,nan,nan
3.432,nan,nan,nan
3.438,nan,nan,nan
3.444,nan,nan,nan
